,song_id,up_votes/total_votes,up_votes,down_votes,difficulty,notes,bombs,BPM,obstacles,NJS,NJSOffset,length,duration
52,33662.0,0.0,0.0,3.0,3.0,160.0,0.0,75.0,1.0,12.0,5.0,60.0,75.0
53,33663.0,0.7931034482758621,23.0,6.0,4.0,1040.0,50.0,170.0,5025.0,22.0,0.0,180.0,512.121826171875
54,33664.0,0.0,0.0,1.0,3.0,616.0,0.0,140.07000732421875,2.0,12.0,0.0,192.0,450.5
55,33665.0,1.0,99.0,0.0,0.0,504.0,0.0,146.0,56.0,8.0,0.0,243.0,592.0
56,33665.0,1.0,99.0,0.0,3.0,1024.0,0.0,146.0,57.0,16.0,0.0,243.0,592.0
57,33665.0,1.0,99.0,0.0,4.0,1081.0,0.0,146.0,57.0,20.0,0.0,243.0,592.0
58,33665.0,1.0,99.0,0.0,2.0,865.0,3.0,146.0,60.0,12.0,0.0,243.0,592.0
59,33665.0,1.0,99.0,0.0,1.0,620.0,0.0,146.0,56.0,10.0,-2.0,243.0,592.0
60,33666.0,0.9555555555555556,129.0,6.0,4.0,1379.0,0.0,140.0,0.0,16.0,0.0,261.0,609.7303466796875
61,33667.0,0.2857142857142857,2.0,5.0,3.0,280.0,0.0,100.0,0.0,12.0,0.0,131.0,219.875
62,33668.0,0.9,9.0,1.0,4.0,1230.0,224.0,175.0,7.0,18.0,0.0,214.0,626.375
63,33672.0,0.9629629629629629,26.0,1.0,4.0,1229.0,107.0,157.0,62.0,13.0,0.0,258.0,675.7716674804688
64,33675.0,0.375,3.0,5.0,4.0,88.0,0.0,500.0,0.0,20.0,0.0,5.0,47.0
65,33677.0,0.5,3.0,3.0,4.0,750.0,388.0,63.0,28.0,14.0,0.0,260.0,273.25
66,33677.0,0.5,3.0,3.0,2.0,744.0,287.0,63.0,29.0,14.0,0.0,260.0,273.25
67,33678.0,0.3673469387755102,18.0,31.0,0.0,214.0,59.0,200.0,6.0,12.0,0.0,155.0,518.5
68,33678.0,0.3673469387755102,18.0,31.0,3.0,340.0,60.0,200.0,10.0,12.0,0.0,153.0,512.0
69,33679.0,0.5,1.0,1.0,4.0,1042.0,10.0,130.0,76.0,15.0,0.0,222.0,482.75
70,33680.0,0.6666666666666666,6.0,3.0,4.0,140.0,0.0,133.0,53.0,19.949989318847656,0.0,34.0,75.68841552734375
71,33681.0,0.75,30.0,10.0,3.0,690.0,203.0,115.0,22.0,12.0,0.0,357.0,685.0
72,33681.0,0.75,30.0,10.0,4.0,663.0,260.0,115.0,23.0,12.0,0.0,357.0,685.0
